mean_photon_number,p_correct,p_cross,p_same,hber_full_intercept,qber_full_intercept,max_intercept_fraction,qber_at_max_intercept
0.8299999999999998,0.866147955362053,0.11848186569506522,0.015370178942881804,0.13385204463794703,0.07461111179041441,1.0,0.07461111179041441
0.8399999999999999,0.8689750542539219,0.1160978927577129,0.014927052988365296,0.1310249457460782,0.07297599936722174,1.0,0.07297599936722174
0.8499999999999999,0.8717498482772474,0.11375514521560648,0.0144950065071461,0.1282501517227526,0.07137257911494935,1.0,0.07137257911494935
0.8599999999999999,0.8744730687409719,0.11145314145641182,0.01407378980261632,0.12552693125902814,0.06980036053082223,1.0,0.06980036053082223
0.8699999999999999,0.8771454408883675,0.10919139951979359,0.01366315959183887,0.12285455911163246,0.06825885935173567,1.0,0.06825885935173567
0.8799999999999999,0.8797676840098912,0.10696943724975948,0.013262878740349293,0.12023231599010877,0.06674759736522903,1.0,0.06674759736522903
0.8899999999999999,0.8823405115431345,0.10478677244463189,0.012872716012233698,0.11765948845686558,0.06526610223454964,1.0,0.06526610223454964
0.8999999999999999,0.8848646311608542,0.1026429230046455,0.012492445834500368,0.11513536883914587,0.06381390733682311,1.0,0.06381390733682311
0.9099999999999999,0.887340744847999,0.1005374070771686,0.012121848074832468,0.11265925515200106,0.062390551613416764,1.0,0.062390551613416764
0.9199999999999999,0.88976954896858,0.0984697431995442,0.011760707831875897,0.1102304510314201,0.060995579431647996,1.0,0.060995579431647996
0.9299999999999999,0.8921517343231746,0.09643945043954988,0.011408815237275528,0.1078482656768254,0.05962854045705047,1.0,0.05962854045705047
0.94,0.8944879861977992,0.09444604853347184,0.011065965268728823,0.10551201380220067,0.05828898953546474,1.0,0.05828898953546474
0.95,0.8967789844048327,0.092489058021791,0.010731957573376322,0.10322101559516732,0.05697648658427182,1.0,0.05697648658427182
0.96,0.8990254033166291,0.09056800038247624,0.010406596300894617,0.10097459668337086,0.05569059649213274,1.0,0.05569059649213274
0.97,0.9012279118924159,0.08868239816188252,0.010089689945701575,0.09877208810758409,0.05443088902664284,1.0,0.05443088902664284
0.98,0.9033871736990294,0.08683177510324827,0.009781051197722287,0.09661282630097055,0.053196938749346424,1.0,0.053196938749346424
0.99,0.9055038469260102,0.08501565627278915,0.009480496801200689,0.09449615307398984,0.05198832493759526,1.0,0.05198832493759526
0.9999999999999998,0.9075785843955408,0.08323356818338241,0.009187847421076615,0.09242141560445903,0.050804631512767824,1.0,0.050804631512767824
1.0099999999999998,0.909612033567684,0.08148503891583794,0.008902927516478016,0.09038796643231596,0.04964544697439699,1.0,0.04964544697439699
